Prefix               ; Length ; Type       ; Tariff        ; Area Code Length ; National Only ; Operator                    ; Format          ; Timezone                                              ; Regions    ; Geocode:en                                                                                                                                                                              ; Provenance ; Comment
238048               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Robertson"                                                                                                                                                                             ; GOVERNMENT
238049               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Rugby"                                                                                                                                                                                 ; GOVERNMENT
238050               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tarago"                                                                                                                                                                                ; GOVERNMENT
238051               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Taralga"                                                                                                                                                                               ; GOVERNMENT
238052               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tuena"                                                                                                                                                                                 ; GOVERNMENT
238053               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wombeyan Caves"                                                                                                                                                                        ; GOVERNMENT
238054               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Woodhouselee"                                                                                                                                                                          ; GOVERNMENT
238055               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Yerrinbool"                                                                                                                                                                            ; GOVERNMENT
238056               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barrallier"                                                                                                                                                                            ; GOVERNMENT
238057               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bevendale"                                                                                                                                                                             ; GOVERNMENT
238058               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Binda"                                                                                                                                                                                 ; GOVERNMENT
238059               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bowral"                                                                                                                                                                                ; GOVERNMENT
238060               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Braidwood"                                                                                                                                                                             ; GOVERNMENT
238061               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Breadalbane"                                                                                                                                                                           ; GOVERNMENT
238062               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bundanoon"                                                                                                                                                                             ; GOVERNMENT
238063               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bungonia"                                                                                                                                                                              ; GOVERNMENT
238064               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Crookwell"                                                                                                                                                                             ; GOVERNMENT
238065               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Golspie"                                                                                                                                                                               ; GOVERNMENT
238066               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Goulburn"                                                                                                                                                                              ; GOVERNMENT
238067               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gundillion"                                                                                                                                                                            ; GOVERNMENT
238068               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gunning"                                                                                                                                                                               ; GOVERNMENT
238069               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Lost River"                                                                                                                                                                            ; GOVERNMENT
238070               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Marulan"                                                                                                                                                                               ; GOVERNMENT
